ts,step,q_ref_w,q_ref_x,q_ref_y,q_ref_z,q_body_w,q_body_x,q_body_y,q_body_z,w_x,w_y,w_z,bias_x,bias_y,bias_z,u_x,u_y,u_z,saturate,torque_sat
2025-09-05T17:58:43.451226,19166,0.9816245535713135,0.0,0.0,0.1908225244197328,0.08429502490914594,-0.7586835585367203,-0.131686645023174,-0.6324177688080608,-1.1603004015089726,-1.1333117411189573,-1.1282571507736736,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.452425,35118,0.9388573095349717,0.0,0.0,0.3443064802363652,0.31733620180202415,0.0,0.0,-0.9483130996806198,0.0,0.0,-1.5210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.453674,29693,0.9562187494047727,0.0,0.0,0.2926528716530431,0.5413164845195712,0.0,0.0,-0.8408189243751433,0.0,0.0,2.0214965070480266,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.472138,19167,0.9816245535713135,0.0,0.0,0.1908225244197328,0.06990059519893085,-0.7640716622837956,-0.13342509399984398,-0.6273006822703489,-0.9603004015089727,-0.9333117411189573,-0.9282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.473055,29694,0.9562187494047727,0.0,0.0,0.2926528716530431,0.5540453893819087,0.0,0.0,-0.8324864602530476,0.0,0.0,1.5214965070480266,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.473420,35119,0.9388573095349717,0.0,0.0,0.3443064802363652,0.3076373071794194,0.0,0.0,-0.9515036979599162,0.0,0.0,-1.0210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.493097,19168,0.9816245535713135,0.0,0.0,0.1908225244197328,0.05853975323188251,-0.7681682847141442,-0.13472163196274434,-0.6231698528749401,-0.7603004015089727,-0.7333117411189574,-0.7282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.494114,35120,0.9388573095349717,0.0,0.0,0.3443064802363652,0.3026752804134771,0.0,0.0,-0.9530937386357246,0.0,0.0,-0.5210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.494343,29695,0.9562187494047727,0.0,0.0,0.2926528716530431,0.5625198620492534,0.0,0.0,-0.8267837714905203,0.0,0.0,1.0214965070480266,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.514095,19169,0.9816245535713135,0.0,0.0,0.1908225244197328,0.0502230743859801,-0.7710742177174207,-0.1355941635687081,-0.6201100034484127,-0.5603004015089728,-0.5333117411189574,-0.5282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.514987,35121,0.9388573095349717,0.0,0.0,0.3443064802363652,0.3024745394083806,0.0,0.0,-0.9531574649603748,0.0,0.0,-0.021061338289934284,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.515212,29696,0.9562187494047727,0.0,0.0,0.2926528716530431,0.56682380296023,0.0,0.0,-0.8238390476286628,0.0,0.0,0.5214965070480266,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.535092,19170,0.9816245535713135,0.0,0.0,0.1908225244197328,0.04495660045244217,-0.7728635001293451,-0.13605603851353276,-0.6181825528333692,-0.36030040150897275,-0.3333117411189574,-0.32825715077367373,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.536030,29697,0.9562187494047727,0.0,0.0,0.2926528716530431,0.567000886478618,0.0,0.0,-0.823717181277932,0.0,0.0,0.021496507048026636,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.536273,35122,0.9388573095349717,0.0,0.0,0.3443064802363652,0.30703605760428654,0.0,0.0,-0.9516978823822282,0.0,0.0,0.4789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.556182,19171,0.9816245535713135,0.0,0.0,0.1908225244197328,0.042743327101102624,-0.7735828564877384,-0.13611586674089074,-0.6174261437273089,-0.16030040150897273,-0.13331174111895738,-0.12825715077367372,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.557033,29698,0.9562187494047727,0.0,0.0,0.2926528716530431,0.5630529250437177,0.0,0.0,-0.8264208392820899,0.0,0.0,-0.47850349295197336,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.558046,35123,0.9388573095349717,0.0,0.0,0.3443064802363652,0.3163374388417234,0.0,0.0,-0.9486467333981913,0.0,0.0,0.9789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.577009,19172,0.9816245535713135,0.0,0.0,0.1908225244197328,0.043584144455442536,-0.7732513583374786,-0.1357774114434232,-0.617856984846052,0.03969959849102728,0.06668825888104263,0.07174284922632629,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.578570,35124,0.9388573095349717,0.0,0.0,0.3443064802363652,0.33033121811438304,0.0,0.0,-0.9438650784614653,0.0,0.0,1.4789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.580113,29699,0.9562187494047727,0.0,0.0,0.2926528716530431,0.5549398020155101,0.0,0.0,-0.8318905073018845,0.0,0.0,-0.9785034929519734,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.598208,19173,0.9816245535713135,0.0,0.0,0.1908225244197328,0.047478228914865486,-0.7718602886267251,-0.13503955633985334,-0.6194689910267598,0.2396995984910273,0.26668825888104264,0.2717428492263263,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T17:58:43.599001,29700,0.9562187494047727,0.0,0.0,0.2926528716530431,0.542580971691758,0.0,0.0,-0.8400035054438926,0.0,0.0,-1.4785034929519734,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T17:58:43.600325,35125,0.9388573095349717,0.0,0.0,0.3443064802363652,0.34894140956812914,0.0,0.0,-0.9371445420470671,0.0,0.0,1.9789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T17:58:43.618967,19174,0.9816245535713135,0.0,0.0,0.1908225244197328,0.05442288563375255,-0.7693732012055684,-0.1338963456976605,-0.6222337144472357,0.4396995984910273,0.46668825888104265,0.4717428492263263,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
