ts,step,q_ref_w,q_ref_x,q_ref_y,q_ref_z,q_body_w,q_body_x,q_body_y,q_body_z,w_x,w_y,w_z,bias_x,bias_y,bias_z,u_x,u_y,u_z,saturate,torque_sat
2025-09-05T18:01:21.718749,26703,0.964434712480517,0.0,0.0,0.26432117842243047,0.2290871770181304,-0.6676398128889919,-0.19246348096349702,-0.6817139825959488,-2.1603004015089726,-2.2006718674113297,-2.1282571507736736,0.03,0.03,0.03,-0.02,-0.013562632733095673,-0.02,True,0.02
2025-09-05T18:01:21.720439,37229,0.9314203944463907,0.0,0.0,0.3639451178534065,0.34601121371247695,0.0,0.0,-0.9382303768186249,0.0,0.0,2.9789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:21.721317,42654,0.9102122698634488,0.0,0.0,0.414142033353327,0.6903500178819744,0.0,0.0,-0.7234755371195061,0.0,0.0,2.4882724740287037,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.739517,26704,0.964434712480517,0.0,0.0,0.26432117842243047,0.19285362440334716,-0.6837552020318044,-0.19704835766259368,-0.6756169387984686,-2.360300401508973,-2.309952243490754,-2.328257150773674,0.03,0.03,0.03,-0.02,-0.010928037607942392,-0.02,True,0.02
2025-09-05T18:01:21.740207,37230,0.9314203944463907,0.0,0.0,0.3639451178534065,0.37842273948652266,0.0,0.0,-0.9256328809195985,0.0,0.0,3.4789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:21.741414,42655,0.9102122698634488,0.0,0.0,0.414142033353327,0.7045954253062574,0.0,0.0,-0.7096092492615172,0.0,0.0,1.9882724740287037,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.760526,26705,0.964434712480517,0.0,0.0,0.26432117842243047,0.15338988198250422,-0.6992839648597357,-0.20148116358049864,-0.6684899560335142,-2.560300401508973,-2.401819974878418,-2.528257150773674,0.03,0.03,0.03,-0.02,-0.009186773138766438,-0.02,True,0.02
2025-09-05T18:01:21.760923,37231,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4058167527450412,0.0,0.0,-0.9139544645065584,0.0,0.0,2.9789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.762298,42656,0.9102122698634488,0.0,0.0,0.414142033353327,0.7150771556364022,0.0,0.0,-0.6990455360611015,0.0,0.0,1.4882724740287037,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.781347,37232,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4283415326614172,0.0,0.0,-0.9036169162854734,0.0,0.0,2.4789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.782327,26706,0.964434712480517,0.0,0.0,0.26432117842243047,0.11679180064335068,-0.7123684068527146,-0.20519883920877124,-0.6608966368563103,-2.360300401508973,-2.201819974878418,-2.328257150773674,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.783303,42657,0.9102122698634488,0.0,0.0,0.414142033353327,0.7219503752967671,0.0,0.0,-0.6919448356688971,0.0,0.0,0.9882724740287037,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.802308,37233,0.9314203944463907,0.0,0.0,0.3639451178534065,0.44613620783133756,0.0,0.0,-0.894965074213443,0.0,0.0,1.9789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.803370,26707,0.964434712480517,0.0,0.0,0.26432117842243047,0.08317431964878724,-0.7232769249118155,-0.20828302011721525,-0.6531238060061211,-2.1603004015089726,-2.001819974878418,-2.1282571507736736,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.804364,42658,0.9102122698634488,0.0,0.0,0.414142033353327,0.7253203053353121,0.0,0.0,-0.6884115445489637,0.0,0.0,0.48827247402870366,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.823320,37234,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4593219622514176,0.0,0.0,-0.8882698548265091,0.0,0.0,1.4789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.823714,26708,0.964434712480517,0.0,0.0,0.26432117842243047,0.05262070037747233,-0.7322636839563397,-0.2108112356067405,-0.6454297653443274,-1.9603004015089727,-1.8018199748784178,-1.9282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.825330,42659,0.9102122698634488,0.0,0.0,0.414142033353327,0.7252395667053494,0.0,0.0,-0.6884966019415325,0.0,0.0,-0.011727525971296338,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.844321,26709,0.964434712480517,0.0,0.0,0.26432117842243047,0.025188263976352748,-0.7395653859414494,-0.21285596647838953,-0.6380446134947646,-1.7603004015089727,-1.6018199748784179,-1.7282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.844930,37235,0.9314203944463907,0.0,0.0,0.3639451178534065,0.467995155340848,0.0,0.0,-0.8837310306747724,0.0,0.0,0.9789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.846324,42660,0.9102122698634488,0.0,0.0,0.414142033353327,0.7217068906487577,0.0,0.0,-0.6921987893590266,0.0,0.0,-0.5117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.865396,26710,0.964434712480517,0.0,0.0,0.26432117842243047,0.000913694759060667,-0.7453986703914972,-0.21448389131622808,-0.6311708546077868,-1.5603004015089728,-1.401819974878418,-1.5282571507736737,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.865987,37236,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4722222689732048,0.0,0.0,-0.8814795112115756,0.0,0.0,0.4789386617100657,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.867353,42661,0.9102122698634488,0.0,0.0,0.414142033353327,0.7146671494984946,0.0,0.0,-0.699464699200536,0.0,0.0,-1.0117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.886463,37237,0.9314203944463907,0.0,0.0,0.3639451178534065,0.47203660712209294,0.0,0.0,-0.8815789479885864,0.0,0.0,-0.021061338289934284,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.887445,26711,0.964434712480517,0.0,0.0,0.26432117842243047,0.020182144121940665,0.7499580591826616,0.21575529475452576,0.6249841944489511,-1.3603004015089728,-1.201819974878418,-1.3282571507736738,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.888390,42662,0.9102122698634488,0.0,0.0,0.414142033353327,0.7040127089815768,0.0,0.0,-0.7101873735799741,0.0,0.0,-1.5117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.907308,26712,0.964434712480517,0.0,0.0,0.26432117842243047,0.03808991981632931,0.7534143625872866,0.21672361242408147,0.6196344342218523,-1.1603004015089728,-1.001819974878418,-1.1282571507736738,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.908352,37238,0.9314203944463907,0.0,0.0,0.3639451178534065,0.46743669453261494,0.0,0.0,-0.8840265474545561,0.0,0.0,-0.5210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.909393,42663,0.9102122698634488,0.0,0.0,0.414142033353327,0.6895861488167404,0.0,0.0,-0.7242036615207742,0.0,0.0,-2.0117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.928408,37239,0.9314203944463907,0.0,0.0,0.3639451178534065,0.45838634695221553,0.0,0.0,-0.8887530348346514,0.0,0.0,-1.0210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.928786,26713,0.964434712480517,0.0,0.0,0.26432117842243047,0.05280808790245984,0.755913469951491,0.21743508910710418,0.6152463846484336,-0.9603004015089729,-0.801819974878418,-0.9282571507736739,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.930396,42664,0.9102122698634488,0.0,0.0,0.414142033353327,0.671184441900768,0.0,0.0,-0.7412903917833784,0.0,0.0,-2.5117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.949448,26714,0.964434712480517,0.0,0.0,0.26432117842243047,0.06433971390612225,0.7575754563312913,0.21792852892913778,0.6119207346198494,-0.7603004015089729,-0.6018199748784181,-0.7282571507736739,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.950471,37240,0.9314203944463907,0.0,0.0,0.3639451178534065,0.44481641414590967,0.0,0.0,-0.8956217715678726,0.0,0.0,-1.5210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.951317,42665,0.9102122698634488,0.0,0.0,0.414142033353327,0.6485647213913239,0.0,0.0,-0.7611595116443034,0.0,0.0,-3.0117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.970541,37241,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4266282254997605,0.0,0.0,-0.9044270878334667,0.0,0.0,-2.0210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.970921,26715,0.964434712480517,0.0,0.0,0.26432117842243047,0.07268986563056423,0.7584939455572394,0.2182351190596404,0.6097348200624978,-0.560300401508973,-0.4018199748784181,-0.528257150773674,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.972334,42666,0.9102122698634488,0.0,0.0,0.414142033353327,0.6214517970411055,0.0,0.0,-0.7834524005671185,0.0,0.0,-3.5117275259712963,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.991480,37242,0.9314203944463907,0.0,0.0,0.3639451178534065,0.4036987937975308,0.0,0.0,-0.914891952028445,0.0,0.0,-2.5210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:21.991818,26716,0.964434712480517,0.0,0.0,0.26432117842243047,0.0778635791060297,0.7587356802062039,0.21837831128288848,0.6087432494837723,-0.36030040150897297,-0.20181997487841807,-0.32825715077367396,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:21.993396,42667,0.9102122698634488,0.0,0.0,0.414142033353327,0.5895476044470066,0.0,0.0,-0.8077336331308705,0.0,0.0,-4.011727525971296,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.012515,37243,0.9314203944463907,0.0,0.0,0.3639451178534065,0.37588785298750055,0.0,0.0,-0.9266651617366692,0.0,0.0,-3.0210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.012847,26717,0.964434712480517,0.0,0.0,0.26432117842243047,0.0798643983137553,0.758340259571808,0.21837374886162114,0.6089783529836398,-0.16030040150897296,-0.0018199748784180625,-0.12825715077367394,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.014373,42668,0.9102122698634488,0.0,0.0,0.414142033353327,0.5525427803322496,0.0,0.0,-0.8334845384904913,0.0,0.0,-4.511727525971296,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.033485,37244,0.9314203944463907,0.0,0.0,0.3639451178534065,0.34304681756937083,0.0,0.0,-0.9393183065157024,0.0,0.0,-3.5210613382899343,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.033852,26718,0.964434712480517,0.0,0.0,0.26432117842243047,0.07869348771496996,0.7573200177396515,0.21822922928887098,0.6104504314078688,0.039699598491027055,0.19818002512158195,0.07174284922632607,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.035312,42669,0.9102122698634488,0.0,0.0,0.414142033353327,0.5101305500990477,0.0,0.0,-0.8600969839824127,0.0,0.0,-5.011727525971296,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.054386,37245,0.9314203944463907,0.0,0.0,0.3639451178534065,0.31452593715356864,0.0,0.0,-0.9492488793028252,0.0,0.0,-3.0210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.055659,26719,0.964434712480517,0.0,0.0,0.26432117842243047,0.07434931658770863,0.7556600251325702,0.2179446967647641,0.613147791883571,0.23969959849102707,0.39818002512158196,0.2717428492263261,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.056321,42670,0.9102122698634488,0.0,0.0,0.414142033353327,0.4620230868622782,0.0,0.0,-0.8868678972689515,0.0,0.0,-5.511727525971296,0.0,0.0,0.0,-0.0,-0.0,-0.05,False,0.05
2025-09-05T18:01:22.075479,37246,0.9314203944463907,0.0,0.0,0.3639451178534065,0.290502487254308,0.0,0.0,-0.9568742367203019,0.0,0.0,-2.5210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.075923,26720,0.964434712480517,0.0,0.0,0.26432117842243047,0.06682791481014837,0.7533182082703682,0.21751226151156725,0.6170365653529565,0.4396995984910271,0.598180025121582,0.4717428492263261,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.077374,42671,0.9102122698634488,0.0,0.0,0.414142033353327,0.4082661774282552,0.0,0.0,-0.9128629296713282,0.0,0.0,-5.979217825860993,0.0,0.0,0.0,-0.0,-0.0,-0.04674902998896968,False,0.05
2025-09-05T18:01:22.096473,37247,0.9314203944463907,0.0,0.0,0.3639451178534065,0.2711081080385045,0.0,0.0,-0.9625489046047386,0.0,0.0,-2.0210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.096803,26721,0.964434712480517,0.0,0.0,0.26432117842243047,0.05612370059591833,0.7502255938828263,0.21691624632577983,0.6220603110587539,0.6396995984910271,0.798180025121582,0.6717428492263261,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.098379,42672,0.9102122698634488,0.0,0.0,0.414142033353327,0.3577118732515665,0.0,0.0,-0.9338320061632367,0.0,0.0,-5.479217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.117430,37248,0.9314203944463907,0.0,0.0,0.3639451178534065,0.2564374854619409,0.0,0.0,-0.96656081859858,0.0,0.0,-1.5210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.117770,26722,0.964434712480517,0.0,0.0,0.26432117842243047,0.0422308813518013,0.7462866948257573,0.21613326403767238,0.6281394223918119,0.8396995984910272,0.998180025121582,0.8717428492263262,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.119358,42673,0.9102122698634488,0.0,0.0,0.414142033353327,0.3108292686205265,0.0,0.0,-0.9504657625442532,0.0,0.0,-4.979217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.138663,37249,0.9314203944463907,0.0,0.0,0.3639451178534065,0.2465554544472859,0.0,0.0,-0.969128684892926,0.0,0.0,-1.0210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.139221,26723,0.964434712480517,0.0,0.0,0.26432117842243047,0.02514542885847388,0.7413800663717031,0.21513233278272134,0.6351703582391713,1.039699598491027,1.198180025121582,1.0717428492263261,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.140379,42674,0.9102122698634488,0.0,0.0,0.414142033353327,0.2679871349137878,0.0,0.0,-0.963422490665803,0.0,0.0,-4.479217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.159453,26724,0.964434712480517,0.0,0.0,0.26432117842243047,0.004867628937007738,0.7353590722534133,0.21387503915771228,0.6430247341031429,1.239699598491027,1.398180025121582,1.271742849226326,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.159879,37250,0.9314203944463907,0.0,0.0,0.3639451178534065,0.2415024211195285,0.0,0.0,-0.970400216711335,0.0,0.0,-0.5210613382899343,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.161316,42675,0.9102122698634488,0.0,0.0,0.414142033353327,0.22946885479131077,0.0,0.0,-0.9733160045333502,0.0,0.0,-3.979217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.180310,37251,0.9312383054674993,0.0,0.0,0.36441078253808634,0.24129803649537196,0.0,0.0,-0.970451058829593,0.0,0.0,-0.021061338289934284,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.181333,26725,0.964434712480517,0.0,0.0,0.26432117842243047,0.01859479677514915,-0.728052910170023,-0.2123157624003781,-0.651548317902976,1.439699598491027,1.5981800251215819,1.471742849226326,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.182304,42676,0.9102122698634488,0.0,0.0,0.414142033353327,0.1954867886883893,0.0,0.0,-0.9807063349689861,0.0,0.0,-3.479217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.201475,37252,0.9312383054674993,0.0,0.0,0.36441078253808634,0.24594308107649399,0.0,0.0,-0.9692842724766565,0.0,0.0,0.4789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.202348,26726,0.964434712480517,0.0,0.0,0.26432117842243047,0.04522300378469208,-0.7192679561177991,-0.21040197564686053,-0.6605599865831351,1.639699598491027,1.7981800251215818,1.671742849226326,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.203311,42677,0.9102122698634488,0.0,0.0,0.414142033353327,0.16619567162724255,0.0,0.0,-0.9860927941793155,0.0,0.0,-2.979217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.222374,26727,0.964434712480517,0.0,0.0,0.26432117842243047,0.07498278610680846,-0.7087894956174131,-0.2080746430221838,-0.6698507114434267,1.839699598491027,1.9981800251215818,1.871742849226326,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
2025-09-05T18:01:22.223319,37253,0.9312383054674993,0.0,0.0,0.36441078253808634,0.25541954116057247,0.0,0.0,-0.9668303149949956,0.0,0.0,0.9789386617100657,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.224301,42678,0.9102122698634488,0.0,0.0,0.414142033353327,0.14170474042597905,0.0,0.0,-0.989908968815217,0.0,0.0,-2.479217825860993,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05
2025-09-05T18:01:22.243363,26728,0.964434712480517,0.0,0.0,0.26432117842243047,0.107819809277299,-0.6963839173489075,-0.2052687337229466,-0.6791826524146319,2.039699598491027,2.198180025121582,2.071742849226326,0.03,0.03,0.03,0.02,0.02,0.02,True,0.02
